Title,Company,Job Type,Location,Link
Real Estate Sales Agent,4c-realestate  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/4c-realestate-Egypt-124404
Senior Real Estate Sales Agent,4c-realestate  -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/4c-realestate-Egypt-124404
AR Confirmation (outdoor-Cairo),Confidential -,Full TimeHybrid,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/05nsNeSxHtY8-AR-Confirmation-outdoor-Cairo-Cairo-Egypt
Sales Representative,Beauty wise -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Beauty wise-Egypt-125167
Training Operations Supervisor,Speakup -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Direct-English-Egypt-16910
Project Engineer,IETOS -,Full TimeOn-site,"Nozha, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/IETOS-Egypt-37034
Sales Area Manager (Distributors - Frozen Food),Confidential -,Full TimeHybrid,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/EwxeWuHrA5bK-Sales-Area-Manager-Distributors---Frozen-Food-Cairo-Egypt
"Sales supervisor,Rep (Horeca F&B )",Confidential -,Full TimeHybrid,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Qddqfo529Pdo-Sales-supervisorRep-Horeca-FB-Cairo-Egypt
Telesales Specialist,51 Talk -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/51talk-com-Egypt-109762
Human Resources Generalist,Saber Foods For Dairy Products -,Full TimeOn-site,"Smouha, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Saber Foods For Dairy Products-Egypt-125902
Restaurant Branch Manager,Raghaeb for managing restaurants (ABU TAREK KUSHARI) -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Raghaeb-for-managing-restaurants--ABU-TAREK-KUSHARI--Egypt-96991
Technical Support Engineer,Afaqy -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Afaqy-Egypt-28121
Accountant,Flordor -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Flordor-Egypt-114739
HR Specialist,Flordor -,Full TimeOn-site,"Hurghada, Red Sea, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Flordor-Egypt-114739
Senior Full Stack Developer .Net + Angular,ICIS -,Full TimeHybrid,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/ICIS-Saudi-Arabia-36620
Telesales Representative,3D Diagnostix -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/3D-Diagnostix-Egypt-3761
Mechanical Technical Site Engineer - North Coast,Experts -,Full TimeOn-site,"North Coast, Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Experts-Egypt-114454
Biology teacher,Confidential -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/9NaQhM9hC9zn-Biology-teacher-Cairo-Egypt
Marketing Manager,مؤسسة أعمال مكانة للخدمات العقارية -,Full TimeRemote,"Riyadh, Saudi Arabia",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/مؤسسة أعمال مكانة للخدمات العقارية-Egypt-125566
Warehouse Supervisor (Badr city),VOW home appliances -,Full TimeOn-site,"Badr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/VOW-home-appliances-Egypt-115853
Call Center. Agent,Etisalat Egypt -,Full TimeOn-site,"Abu Rawash, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Etisalat-Egypt-Egypt-109452
Cost Accountant section Head,Ascom -,Full TimeOn-site,"Maadi, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Ascom-Egypt-10423
Customer Service Agent,Sutherland -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Sutherland-Global-Services-Egypt-1009
Physics Teacher,Confidential -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/Viyv58GAa4dI-Physics-Teacher-Cairo-Egypt
Chemistry Teacher,Confidential -,Full TimeOn-site,"Downtown, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/vNdXmBUlLlHa-Chemistry-Teacher-Cairo-Egypt
administrative affairs officer,El Tawheed For Advanced Industries ( sparkle shampoo) -,Full TimeOn-site,"Sheraton, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/nefertary-sparkle-shampoo-Egypt-38415
Students’ Affairs ( Admissions & St. Services ),May University in Cairo -,Full TimeOn-site,"15th May City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Muc-Egypt-68844
Quantity Surveying Engineer,LEEDS FIT-OUT -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-95444
Finishing Construction Manager,LEEDS FIT-OUT -,Full TimeOn-site,"Sheikh Zayed, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/-95444
Social Media Manager,design steel -,Full TimeOn-site,"Damietta, Damietta, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/design steel-Egypt-126023
HR Specialist,Confidential -,Full TimeOn-site,"khanka, Qalubia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/fRA7MDVcMEqT-HR-Specialist-Qalubia-Egypt
Electrical Maintenance Engineer,Yes Pac -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Yes-Pac-Egypt-20413
Telesales Agent,51 Talk -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/51talk-com-Egypt-109762
English Customer Service Agent,VXI -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/VXI-Egypt-98815
Presales Engineer,SINA Engineering  -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SINA Engineering-Egypt-112157
Electrical Technician,SINA Engineering  -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SINA Engineering-Egypt-112157
Sales Engineer,SINA Engineering  -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SINA Engineering-Egypt-112157
Electrical Maintenance Engineer,SINA Engineering  -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/SINA Engineering-Egypt-112157
3D Design Engineer,Lecico Egypt -,Full TimeOn-site,"Alexandria, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Lecico-Egypt-Egypt-14389
Front Desk & Sales officer,Smart GYM -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Smart-GYM-Egypt-7968
Talent Acquisition Specialist,Smart GYM -,Full TimeOn-site,"Nasr City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Smart-GYM-Egypt-7968
Operations Manager,Smart GYM -,Full TimeOn-site,"New Cairo, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Smart-GYM-Egypt-7968
Operations Manager,Miss Leleian -,Full TimeOn-site,"Obour City, Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/miss-leleian-Egypt-61506
storekeeper,Seoudi Supermarket -,Full TimeOn-site,"6th of October, Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038
Travel Agent - Sales (Fluent English Speakers),DYNINNO Egypt -,Full TimeOn-site,"Cairo, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/DYNINNO-Egypt-Egypt-40326
Senior Full Stack Developer ( Node Js & React),Algoriza -,Full TimeHybrid,"Giza, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/Algoriza-Egypt-58919
Accountant,بونا لتعبئه البودرات الخفيفه -,Full TimeOn-site,"Sharqia, Egypt",https://wuzzuf.nethttps://wuzzuf.net/jobs/careers/بونا لتعبئه البودرات الخفيفه-Egypt-126112
